ox_code	p2_dtc_prediction	p2_rfc_prediction	p2_umap_0	p2_umap_1
AB0092-Ca	0	0	inf	inf
AB0092-Cb	0	0	inf	inf
AB0094-Ca	0	0	inf	inf
AB0094-Cb	0	0	inf	inf
AB0095-Ca	0	0	inf	inf
AB0095-Cb	0	0	inf	inf
AB0097-Ca	0	0	inf	inf
AB0097-Cb	0	0	inf	inf
AB0098-Ca	0	0	inf	inf
AB0098-Cb	0	0	inf	inf
AB0099-Ca	0	0	inf	inf
AB0099-Cb	0	0	inf	inf
AB0100-Ca	0	0	inf	inf
AB0100-Cb	0	0	inf	inf
AB0101-Ca	0	0	1.9238543510437012	13.332154273986816
AB0101-Cb	0	0	-5.0181050300598145	16.835920333862305
AB0103-Ca	0	0	inf	inf
AB0103-Cb	0	0	inf	inf
AB0104-Ca	0	0	inf	inf
AB0104-Cb	0	0	inf	inf
AB0108-Ca	0	0	inf	inf
AB0108-Cb	0	0	inf	inf
AB0109-Ca	0	0	inf	inf
AB0109-Cb	0	0	inf	inf
AB0110-Ca	0	0	inf	inf
AB0110-Cb	0	0	inf	inf
AB0111-Ca	0	0	inf	inf
AB0111-Cb	0	0	inf	inf
AB0112-Ca	0	0	inf	inf
AB0112-Cb	0	0	inf	inf
AB0113-Ca	0	0	1.5485105514526367	13.376723289489746
AB0113-Cb	1	1	12.167064666748047	9.840997695922852
AB0114-Ca	0	0	inf	inf
AB0114-Cb	0	0	inf	inf
AB0115-Ca	0	0	inf	inf
AB0115-Cb	0	0	inf	inf
AB0117-Ca	0	0	-0.530709981918335	14.871726989746094
AB0117-Cb	0	0	0.44246339797973633	11.653796195983887
AB0118-Ca	0	0	inf	inf
AB0118-Cb	0	0	inf	inf
AB0119-Ca	0	0	-2.978360652923584	12.013529777526855
AB0119-Cb	1	1	10.21363353729248	21.036224365234375
AB0122-Ca	0	0	inf	inf
AB0122-Cb	0	0	inf	inf
AB0123-Ca	0	0	inf	inf
AB0123-Cb	0	0	inf	inf
AB0124-Ca	0	0	inf	inf
AB0124-Cb	0	0	inf	inf
AB0126-Ca	0	0	inf	inf
AB0126-Cb	0	0	inf	inf
AB0127-Ca	0	0	inf	inf
AB0127-Cb	0	0	inf	inf
AB0128-Ca	0	0	inf	inf
AB0128-Cb	0	0	inf	inf
AB0129-Ca	0	0	inf	inf
AB0129-Cb	0	0	inf	inf
AB0130-Ca	0	0	inf	inf
AB0130-Cb	0	0	inf	inf
AB0133-Ca	0	0	-4.584852695465088	15.638511657714844
AB0133-Cb	1	1	11.725435256958008	9.924932479858398
AB0134-Ca	0	0	-2.337836503982544	14.494902610778809
AB0134-Cb	1	1	17.653059005737305	27.063295364379883
AB0135-Ca	1	1	6.88620138168335	13.971413612365723
AB0135-Cb	1	1	4.681902885437012	15.585659980773926
AB0136-Ca	1	1	17.385700225830078	26.990489959716797
AB0136-Cb	0	0	-4.648545265197754	16.55027198791504
AB0137-Ca	0	0	inf	inf
AB0137-Cb	0	0	inf	inf
AB0138-Ca	0	0	inf	inf
AB0138-Cb	0	0	inf	inf
AB0139-Ca	0	0	inf	inf
AB0139-Cb	0	0	inf	inf
AB0140-Ca	0	0	inf	inf
AB0140-Cb	0	0	inf	inf
AB0142-Ca	0	0	inf	inf
AB0142-Cb	0	0	inf	inf
AB0143-Ca	0	0	-6.3066816329956055	16.49361228942871
AB0143-Cb	0	0	-2.14176869392395	11.404003143310547
AB0145-Ca	1	1	17.539140701293945	27.054561614990234
AB0145-Cb	1	1	17.760679244995117	26.954626083374023
AB0146-Ca	0	0	-4.656262397766113	16.211837768554688
AB0146-Cb	1	1	9.642631530761719	19.508638381958008
AB0147-Ca	0	0	inf	inf
AB0147-Cb	0	0	inf	inf
AB0148-Ca	0	0	inf	inf
AB0148-Cb	0	0	inf	inf
AB0150-Ca	0	0	-3.5267746448516846	10.801755905151367
AB0150-Cb	1	1	17.095102310180664	27.172574996948242
AB0151-Ca	0	0	inf	inf
