hap_cluster	pop	hap_id	hap_distinct	allele
0	GHcol	AA0040-C a	0	0
0	GHcol	AA0040-C b	0	0
0	GHcol	AA0041-C a	0	0
0	GHcol	AA0041-C b	0	0
0	GHcol	AA0042-C a	1	0
0	GHcol	AA0042-C b	2	0
0	GHcol	AA0043-C a	0	0
0	GHcol	AA0043-C b	3	0
0	GHcol	AA0044-C a	2	0
0	GHcol	AA0044-C b	0	0
0	GHgam	AA0048-C a	4	1
0	GHgam	AA0048-C b	4	1
0	GHcol	AA0049-C a	0	0
0	GHcol	AA0049-C b	4	1
0	GHgam	AA0050-C a	4	1
0	GHgam	AA0050-C b	4	1
0	GHcol	AA0051-C a	0	0
0	GHcol	AA0051-C b	0	0
0	GHcol	AA0052-C a	0	0
0	GHcol	AA0052-C b	2	0
0	GHcol	AA0053-C a	0	0
0	GHcol	AA0053-C b	2	0
0	GHcol	AA0054-C a	2	0
0	GHcol	AA0054-C b	0	0
0	GHcol	AA0055-C a	0	0
0	GHcol	AA0055-C b	2	0
0	GHcol	AA0056-C a	2	0
0	GHcol	AA0056-C b	0	0
0	GHgam	AA0060-C a	4	1
0	GHgam	AA0060-C b	4	1
0	GHgam	AA0061-C a	4	1
0	GHgam	AA0061-C b	4	1
0	GHcol	AA0063-C a	2	0
0	GHcol	AA0063-C b	0	0
0	GHcol	AA0064-C a	0	0
0	GHcol	AA0064-C b	5	0
0	GHcol	AA0066-C a	0	0
0	GHcol	AA0066-C b	0	0
0	GHcol	AA0067-C a	0	0
0	GHcol	AA0067-C b	2	0
0	GHcol	AA0068-C a	0	0
0	GHcol	AA0068-C b	6	0
0	GHgam	AA0072-C a	7	0
0	GHgam	AA0072-C b	4	1
0	GHcol	AA0073-C a	4	1
0	GHcol	AA0073-C b	2	0
0	GHcol	AA0074-C a	0	0
0	GHcol	AA0074-C b	2	0
0	GHcol	AA0075-C a	2	0
0	GHcol	AA0075-C b	2	0
0	GHcol	AA0076-C a	2	0
0	GHcol	AA0076-C b	2	0
0	GHcol	AA0077-C a	3	0
0	GHcol	AA0077-C b	0	0
0	GHcol	AA0080-C a	0	0
0	GHcol	AA0080-C b	0	0
0	GHgam	AA0084-C a	4	1
0	GHgam	AA0084-C b	4	1
0	GHgam	AA0085-C a	2	0
0	GHgam	AA0085-C b	4	1
0	GHgam	AA0086-C a	0	0
0	GHgam	AA0086-C b	2	0
0	GHcol	AA0087-C a	0	0
0	GHcol	AA0087-C b	6	0
0	GHcol	AA0088-C a	0	0
0	GHcol	AA0088-C b	0	0
0	GHcol	AA0089-C a	2	0
0	GHcol	AA0089-C b	0	0
0	GHcol	AA0090-C a	0	0
0	GHcol	AA0090-C b	2	0
0	GHcol	AA0091-C a	2	0
1	GHcol	AA0091-C b	8	0
0	GHgam	AA0096-C a	9	0
0	GHgam	AA0096-C b	4	1
0	GHcol	AA0097-C a	2	0
0	GHcol	AA0097-C b	4	1
0	GHcol	AA0098-C a	2	0
0	GHcol	AA0098-C b	4	1
0	GHcol	AA0099-C a	10	0
0	GHcol	AA0099-C b	0	0
0	GHcol	AA0100-C a	2	0
0	GHcol	AA0100-C b	2	0
0	GHcol	AA0101-C a	0	0
0	GHcol	AA0101-C b	2	0
0	GHcol	AA0102-C a	11	0
0	GHcol	AA0102-C b	0	0
0	GHcol	AA0103-C a	2	0
0	GHcol	AA0103-C b	2	0
0	GHcol	AA0104-C a	0	0
0	GHcol	AA0104-C b	0	0
0	GHcol	AA0107-C a	2	0
0	GHcol	AA0107-C b	2	0
0	GHgam	AA0108-C a	4	1
0	GHgam	AA0108-C b	4	1
0	GHcol	AA0109-C a	0	0
0	GHcol	AA0109-C b	0	0
0	GHcol	AA0110-C a	0	0
0	GHcol	AA0110-C b	0	0
0	GHcol	AA0111-C a	0	0
0	GHcol	AA0111-C b	0	0
0	GHcol	AA0113-C a	2	0
0	GHcol	AA0113-C b	0	0
0	GHcol	AA0114-C a	0	0
0	GHcol	AA0114-C b	0	0
0	GHcol	AA0115-C a	0	0
0	GHcol	AA0115-C b	0	0
0	GHcol	AA0116-C a	2	0
0	GHcol	AA0116-C b	0	0
0	GHgam	AA0122-C a	12	0
0	GHgam	AA0122-C b	0	0
0	GHcol	AA0123-C a	0	0
0	GHcol	AA0123-C b	0	0
0	GHcol	AA0124-C a	0	0
0	GHcol	AA0124-C b	0	0
0	GHcol	AA0125-C a	0	0
0	GHcol	AA0125-C b	0	0
0	GHcol	AA0127-C a	2	0
0	GHcol	AA0127-C b	2	0
0	GHcol	AA0132-C a	0	0
0	GHcol	AA0132-C b	4	1
0	GHgam	AA0133-C a	2	0
0	GHgam	AA0133-C b	4	1
0	GHcol	AA0134-C a	2	0
0	GHcol	AA0134-C b	0	0
0	GHcol	AA0135-C a	0	0
0	GHcol	AA0135-C b	0	0
0	GHcol	AA0136-C a	0	0
0	GHcol	AA0136-C b	0	0
0	GHcol	AA0139-C a	0	0
0	GHcol	AA0139-C b	2	0
0	GHcol	AA0140-C a	4	1
0	GHcol	AA0140-C b	2	0
0	GHcol	AA0141-C a	2	0
0	GHcol	AA0141-C b	4	1
0	BFgam	AB0085-C a	2	0
0	BFgam	AB0085-C b	0	0
0	BFcol	AB0087-C a	2	0
0	BFcol	AB0087-C b	0	0
0	BFcol	AB0088-C a	0	0
0	BFcol	AB0088-C b	0	0
0	BFcol	AB0089-C a	2	0
0	BFcol	AB0089-C b	2	0
0	BFcol	AB0090-C a	0	0
0	BFcol	AB0090-C b	2	0
0	BFcol	AB0091-C a	13	0
0	BFcol	AB0091-C b	2	0
0	BFcol	AB0092-C a	14	0
0	BFcol	AB0092-C b	2	0
0	BFcol	AB0094-C a	15	0
0	BFcol	AB0094-C b	0	0
0	BFcol	AB0095-C a	0	0
0	BFcol	AB0095-C b	2	0
0	BFcol	AB0097-C a	2	0
