Serial	Country	Year	Location	Ace1_G119S	GPS_coordinates	Collection_date	Contact	Method	CollectionID	phenotypic_bioassay_date	phenotypic_bioassay_method	Insecticide	Concentration_x	Concentration_percentage	Exposure_min	Plate_name	Plate_code	Sample_ID	phenotype	DNA_extraction_method	DNA_extraction_date	DNA_conc_ngul	DNA_100ul	Species	species_id_method	PlateNo	Well	HEX_Ct_dR	FAM_Ct_dR	HEX_dR_last	Threshold_HEX_dR	FAM_dR_last	Threshold_FAM_dR	FAM_Ct-HEX_Ct
1	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D01	Dead	nexttec_1_step	18/02/20	1.66	165.9	col	New SINE									
2	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D02	Dead	nexttec_1_step	18/02/20	1.69	168.7	gam	New SINE									
3	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D03	Dead	nexttec_1_step	18/02/20	1.51	151.4	gam	New SINE									
4	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D04	Dead	nexttec_1_step	18/02/20	3.74	373.6	col	New SINE									
5	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D05	Dead	nexttec_1_step	18/02/20	3.25	325.4	col	New SINE									
6	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D06	Dead	nexttec_1_step	18/02/20	4.25	424.6	col	New SINE									
7	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D07	Dead	nexttec_1_step	18/02/20	1.96	195.6	col	New SINE									
8	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D08	Dead	nexttec_1_step	18/02/20	2.38	238	col	New SINE									
9	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D09	Dead	nexttec_1_step	18/02/20	3.38	338.4	gam	New SINE									
10	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D10	Dead	nexttec_1_step	18/02/20	1.15	114.5	gam	New SINE									
11	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D11	Dead	nexttec_1_step	18/02/20	1.2	120.1	gam	New SINE									
12	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D12	Dead	nexttec_1_step	18/02/20	3.19	319.1	col	New SINE									
13	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D13	Dead	nexttec_1_step	18/02/20	2.57	256.6	gam	New SINE									
14	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D14	Dead	nexttec_1_step	18/02/20	1.55	154.8	gam	New SINE									
15	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D15	Dead	nexttec_1_step	18/02/20	3.96	396.4	col	New SINE									
16	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D16	Dead	nexttec_1_step	18/02/20	2.21	221.5	col	New SINE									
17	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D17	Dead	nexttec_1_step	18/02/20	0.28	28.4	gam	New SINE									
18	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D18	Dead	nexttec_1_step	18/02/20	1.72	172	gam	New SINE									
19	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D19	Dead	nexttec_1_step	18/02/20	2.58	258.2	col	New SINE									
20	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D20	Dead	nexttec_1_step	18/02/20	3.46	345.6	col	New SINE									
21	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D21	Dead	nexttec_1_step	18/02/20	1.81	180.6	gam	New SINE									
22	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D22	Dead	nexttec_1_step	18/02/20	5.24	524.3	col	New SINE									
23	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D23	Dead	nexttec_1_step	18/02/20	0.81	81.1	gam	New SINE									
24	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D24	Dead	nexttec_1_step	18/02/20	3.65	364.9	gam	New SINE									
25	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D25	Dead	nexttec_1_step	18/02/20	3.64	363.6	gam	New SINE									
26	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D26	Dead	nexttec_1_step	18/02/20	0.85	85	gam	New SINE									
27	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D27	Dead	nexttec_1_step	18/02/20	1.63	162.9	col	New SINE									
28	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D28	Dead	nexttec_1_step	18/02/20	3.1	310.4	gam	New SINE									
29	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D29	Dead	nexttec_1_step	18/02/20	1.68	167.7	gam	New SINE									
30	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D30	Dead	nexttec_1_step	18/02/20	1.41	141.2	col	New SINE									
31	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D31	Dead	nexttec_1_step	18/02/20	3.03	303	NA	New SINE									
32	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D32	Dead	nexttec_1_step	18/02/20	1.01	101.3	gam	New SINE									
33	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D33	Dead	nexttec_1_step	18/02/20	1.2	120.1	col	New SINE									
34	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D34	Dead	nexttec_1_step	18/02/20	2.09	208.5	col	New SINE									
35	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D35	Dead	nexttec_1_step	18/02/20	1.39	138.8	col	New SINE									
36	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D36	Dead	nexttec_1_step	18/02/20	2.63	263.5	gam	New SINE									
37	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D37	Dead	nexttec_1_step	18/02/20	1.89	188.7	col	New SINE									
38	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D38	Dead	nexttec_1_step	18/02/20	2.78	278.3	gam	New SINE									
39	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D39	Dead	nexttec_1_step	18/02/20	3.07	307.5	gam	New SINE									
40	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D40	Dead	nexttec_1_step	18/02/20	1.11	111.1	gam	New SINE									
41	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D41	Dead	nexttec_1_step	18/02/20	2.6	260.4	gam	New SINE									
42	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D42	Dead	nexttec_1_step	18/02/20	1.8	180.1	gam	New SINE									
43	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		13.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D43	Dead	nexttec_1_step	18/02/20	3.25	325.4	col	New SINE									
44	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D44	Dead	nexttec_1_step	18/02/20	1.67	166.6	col	New SINE									
45	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D45	Dead	nexttec_1_step	18/02/20	2	200	gam	New SINE									
46	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D46	Dead	nexttec_1_step	18/02/20	1.59	159.1	gam	New SINE									
47	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D47	Dead	nexttec_1_step	18/02/20	1.57	157	col	New SINE									
48	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D48	Dead	nexttec_1_step	18/02/20	1.26	125.8	gam	New SINE									
49	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D49	Dead	nexttec_1_step	18/02/20	1.92	191.7	col	New SINE									
50	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D50	Dead	nexttec_1_step	18/02/20	1.33	133	gam	New SINE									
51	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D51	Dead	nexttec_1_step	18/02/20	1.75	174.9	gam	New SINE									
52	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D52	Dead	nexttec_1_step	18/02/20	2.5	250.2	col	New SINE									
53	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D53	Dead	nexttec_1_step	18/02/20	1.3	129.6	col	New SINE									
54	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D54	Dead	nexttec_1_step	18/02/20	2.44	243.7	gam	New SINE									
55	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D55	Dead	nexttec_1_step	18/02/20	1.28	128.2	col	New SINE									
56	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D56	Dead	nexttec_1_step	18/02/20	1.95	195.1	col	New SINE									
57	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D57	Dead	nexttec_1_step	18/02/20	2.13	212.7	col	New SINE									
58	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D58	Dead	nexttec_1_step	18/02/20	2.51	250.9	gam	New SINE									
59	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D59	Dead	nexttec_1_step	18/02/20	1.48	148.2	gam	New SINE									
60	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D60	Dead	nexttec_1_step	18/02/20	2.26	226.4	col	New SINE									
61	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D61	Dead	nexttec_1_step	18/02/20	2.35	235.5	gam	New SINE									
62	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D62	Dead	nexttec_1_step	18/02/20	2.03	203.2	col	New SINE									
63	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D63	Dead	nexttec_1_step	18/02/20	2.61	260.7	gam	New SINE									
64	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D64	Dead	nexttec_1_step	18/02/20	2.06	205.7	col	New SINE									
65	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D65	Dead	nexttec_1_step	18/02/20	2.52	251.7	col	New SINE									
66	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D66	Dead	nexttec_1_step	18/02/20	0.5	50.2	gam	New SINE									
67	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D67	Dead	nexttec_1_step	18/02/20	2.05	204.9	col	New SINE									
68	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D68	Dead	nexttec_1_step	18/02/20	2.12	212.1	gam	New SINE									
69	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D69	Dead	nexttec_1_step	18/02/20	1.9	189.9	col	New SINE									
70	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D70	Dead	nexttec_1_step	18/02/20	1.99	199.1	col	New SINE									
71	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D71	Dead	nexttec_1_step	18/02/20	2.07	207.4	gam	New SINE									
72	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D72	Dead	nexttec_1_step	18/02/20	2.49	248.7	col	New SINE									
73	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D73	Dead	nexttec_1_step	18/02/20	3.15	314.9	gam	New SINE									
74	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D74	Dead	nexttec_1_step	18/02/20	1.65	165	col	New SINE									
75	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D75	Dead	nexttec_1_step	18/02/20	1.3	130	gam	New SINE									
76	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D76	Dead	nexttec_1_step	18/02/20	3.13	313.1	NA	New SINE									
77	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D77	Dead	nexttec_1_step	18/02/20	2.51	251.2	col	New SINE									
78	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D78	Dead	nexttec_1_step	18/02/20	2.19	218.9	gam	New SINE									
79	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D79	Dead	nexttec_1_step	18/02/20	2.23	223.3	col	New SINE									
80	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D80	Dead	nexttec_1_step	18/02/20	2.17	216.9	col	New SINE									
81	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D81	Dead	nexttec_1_step	18/02/20	0.93	93.1	col	New SINE									
82	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D82	Dead	nexttec_1_step	18/02/20	4.65	464.5	col	New SINE									
83	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D83	Dead	nexttec_1_step	18/02/20	0.73	73.1	gam	New SINE									
84	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D84	Dead	nexttec_1_step	18/02/20	1.88	188.1	gam	New SINE									
85	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D85	Dead	nexttec_1_step	18/02/20	2.3	229.8	gam	New SINE									
86	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D86	Dead	nexttec_1_step	18/02/20	1.83	182.9	gam	New SINE									
87	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D87	Dead	nexttec_1_step	18/02/20	3.16	315.9	col	New SINE									
88	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D88	Dead	nexttec_1_step	18/02/20	3.24	324.3	gam	New SINE									
89	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D89	Dead	nexttec_1_step	18/02/20	1.59	158.9	col	New SINE									
90	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D90	Dead	nexttec_1_step	18/02/20	3.81	380.6	col	New SINE									
91	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D91	Dead	nexttec_1_step	18/02/20	2.17	216.7	col	New SINE									
92	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D92	Dead	nexttec_1_step	18/02/20	1.61	161.2	gam	New SINE									
93	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		27.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D93	Dead	nexttec_1_step	18/02/20	2.11	211.3	gam	New SINE									
94	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		30.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D94	Dead	nexttec_1_step	18/02/20	2.4	240.5	col	New SINE									
95	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		30.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D95	Dead	nexttec_1_step	18/02/20	3.57	357.3	col	New SINE									
96	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		30.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D96	Dead	nexttec_1_step	18/02/20	0.82	81.9	col	New SINE									
97	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		30.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate2	423 7231 17 002	GH17MDNDel_D97	Dead	nexttec_1_step	18/02/20	1.77	176.9	col	New SINE									
