hap	has_dup
AA0040-Ca_GHcol	FALSE
AA0040-Cb_GHcol	FALSE
AA0041-Ca_GHcol	FALSE
AA0041-Cb_GHcol	FALSE
AA0042-Ca_GHcol	FALSE
AA0042-Cb_GHcol	FALSE
AA0043-Ca_GHcol	FALSE
AA0043-Cb_GHcol	FALSE
AA0044-Ca_GHcol	FALSE
AA0044-Cb_GHcol	FALSE
AA0048-Ca_GHgam	TRUE
AA0048-Cb_GHgam	TRUE
AA0049-Ca_GHcol	TRUE
AA0049-Cb_GHcol	TRUE
AA0050-Ca_GHgam	TRUE
AA0050-Cb_GHgam	TRUE
AA0051-Ca_GHcol	FALSE
AA0051-Cb_GHcol	FALSE
AA0052-Ca_GHcol	FALSE
AA0052-Cb_GHcol	FALSE
AA0053-Ca_GHcol	FALSE
AA0053-Cb_GHcol	FALSE
AA0054-Ca_GHcol	FALSE
AA0054-Cb_GHcol	FALSE
AA0055-Ca_GHcol	FALSE
AA0055-Cb_GHcol	FALSE
AA0056-Ca_GHcol	FALSE
AA0056-Cb_GHcol	FALSE
AA0060-Ca_GHgam	TRUE
AA0060-Cb_GHgam	TRUE
AA0061-Ca_GHgam	TRUE
AA0061-Cb_GHgam	TRUE
AA0063-Ca_GHcol	FALSE
AA0063-Cb_GHcol	FALSE
AA0064-Ca_GHcol	FALSE
AA0064-Cb_GHcol	FALSE
AA0066-Ca_GHcol	FALSE
AA0066-Cb_GHcol	FALSE
AA0067-Ca_GHcol	FALSE
AA0067-Cb_GHcol	FALSE
AA0068-Ca_GHcol	FALSE
AA0068-Cb_GHcol	FALSE
AA0072-Ca_GHgam	TRUE
AA0072-Cb_GHgam	TRUE
AA0073-Ca_GHcol	TRUE
AA0073-Cb_GHcol	TRUE
AA0074-Ca_GHcol	FALSE
AA0074-Cb_GHcol	FALSE
AA0075-Ca_GHcol	FALSE
AA0075-Cb_GHcol	FALSE
AA0076-Ca_GHcol	FALSE
AA0076-Cb_GHcol	FALSE
AA0077-Ca_GHcol	FALSE
AA0077-Cb_GHcol	FALSE
AA0080-Ca_GHcol	FALSE
AA0080-Cb_GHcol	FALSE
AA0084-Ca_GHgam	TRUE
AA0084-Cb_GHgam	TRUE
AA0085-Ca_GHgam	TRUE
AA0085-Cb_GHgam	TRUE
AA0086-Ca_GHgam	FALSE
AA0086-Cb_GHgam	FALSE
AA0087-Ca_GHcol	FALSE
AA0087-Cb_GHcol	FALSE
AA0088-Ca_GHcol	FALSE
AA0088-Cb_GHcol	FALSE
AA0089-Ca_GHcol	FALSE
AA0089-Cb_GHcol	FALSE
AA0090-Ca_GHcol	FALSE
AA0090-Cb_GHcol	FALSE
AA0091-Ca_GHcol	FALSE
AA0091-Cb_GHcol	FALSE
AA0096-Ca_GHgam	TRUE
AA0096-Cb_GHgam	TRUE
AA0097-Ca_GHcol	FALSE
AA0097-Cb_GHcol	FALSE
AA0098-Ca_GHcol	TRUE
AA0098-Cb_GHcol	TRUE
AA0099-Ca_GHcol	FALSE
AA0099-Cb_GHcol	FALSE
AA0100-Ca_GHcol	FALSE
AA0100-Cb_GHcol	FALSE
AA0101-Ca_GHcol	FALSE
AA0101-Cb_GHcol	FALSE
AA0102-Ca_GHcol	FALSE
AA0102-Cb_GHcol	FALSE
AA0103-Ca_GHcol	FALSE
AA0103-Cb_GHcol	FALSE
AA0104-Ca_GHcol	FALSE
AA0104-Cb_GHcol	FALSE
AA0107-Ca_GHcol	FALSE
AA0107-Cb_GHcol	FALSE
AA0108-Ca_GHgam	TRUE
AA0108-Cb_GHgam	TRUE
AA0109-Ca_GHcol	FALSE
AA0109-Cb_GHcol	FALSE
AA0110-Ca_GHcol	FALSE
AA0110-Cb_GHcol	FALSE
AA0111-Ca_GHcol	FALSE
AA0111-Cb_GHcol	FALSE
AA0113-Ca_GHcol	FALSE
AA0113-Cb_GHcol	FALSE
AA0114-Ca_GHcol	FALSE
AA0114-Cb_GHcol	FALSE
AA0115-Ca_GHcol	FALSE
AA0115-Cb_GHcol	FALSE
AA0116-Ca_GHcol	FALSE
AA0116-Cb_GHcol	FALSE
AA0122-Ca_GHgam	FALSE
AA0122-Cb_GHgam	FALSE
AA0123-Ca_GHcol	FALSE
AA0123-Cb_GHcol	FALSE
AA0124-Ca_GHcol	FALSE
AA0124-Cb_GHcol	FALSE
AA0125-Ca_GHcol	FALSE
AA0125-Cb_GHcol	FALSE
AA0127-Ca_GHcol	FALSE
AA0127-Cb_GHcol	FALSE
AA0132-Ca_GHcol	TRUE
AA0132-Cb_GHcol	TRUE
AA0133-Ca_GHgam	TRUE
AA0133-Cb_GHgam	TRUE
AA0134-Ca_GHcol	FALSE
AA0134-Cb_GHcol	FALSE
AA0135-Ca_GHcol	FALSE
AA0135-Cb_GHcol	FALSE
AA0136-Ca_GHcol	FALSE
AA0136-Cb_GHcol	FALSE
AA0139-Ca_GHcol	FALSE
AA0139-Cb_GHcol	FALSE
AA0140-Ca_GHcol	TRUE
AA0140-Cb_GHcol	TRUE
AA0141-Ca_GHcol	TRUE
AA0141-Cb_GHcol	TRUE
AB0085-Ca_BFgam	FALSE
AB0085-Cb_BFgam	FALSE
AB0087-Ca_BFcol	FALSE
AB0087-Cb_BFcol	FALSE
AB0088-Ca_BFcol	FALSE
AB0088-Cb_BFcol	FALSE
AB0089-Ca_BFcol	FALSE
AB0089-Cb_BFcol	FALSE
AB0090-Ca_BFcol	FALSE
AB0090-Cb_BFcol	FALSE
AB0091-Ca_BFcol	FALSE
AB0091-Cb_BFcol	FALSE
AB0092-Ca_BFcol	FALSE
